state,county,winning_party,votes_for_winner,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,majority_race
Delaware,Kent County,DEM,44552,173145.0,83544.0,89601.0,6.8,62.7,24.1,0.6,2.0,0.0,128114.0,57647.0,1456.0,27420.0,778.0,13.0,18.4,33.5,19.8,22.9,9.9,13.8,82.1,9.6,1.2,1.8,1.1,4.2,26.3,78078.0,74.7,21.1,4.0,0.2,6.7,White
Delaware,New Castle County,DEM,195034,555036.0,268818.0,286218.0,9.6,58.5,24.1,0.2,5.4,0.0,403642.0,68336.0,1106.0,34541.0,543.0,11.9,15.9,43.9,17.0,23.4,7.1,8.7,80.5,7.7,4.0,2.4,1.1,4.2,25.7,269164.0,84.7,12.0,3.2,0.1,6.5,White
Delaware,Sussex County,REP,71230,215551.0,104514.0,111037.0,9.2,74.9,12.1,0.4,1.2,0.0,165573.0,57901.0,1291.0,31874.0,737.0,12.0,20.8,33.3,18.7,24.0,11.2,12.8,83.4,7.3,0.7,1.6,1.3,5.6,25.3,94271.0,79.3,14.8,5.8,0.1,6.1,White
District of Columbia,District of Columbia,DEM,39041,672391.0,319046.0,353345.0,10.7,36.0,46.9,0.2,3.7,0.0,503112.0,77649.0,1075.0,50832.0,645.0,17.4,25.5,61.7,15.3,16.7,2.7,3.6,34.0,5.4,35.4,13.2,6.2,5.7,30.0,357701.0,71.0,24.6,4.3,0.1,8.0,Black
Florida,Alachua County,DEM,89704,259865.0,125712.0,134153.0,9.3,62.0,19.8,0.3,5.9,0.1,200490.0,45478.0,1546.0,26431.0,711.0,23.3,22.0,46.1,19.2,23.3,5.3,6.2,74.7,8.8,4.1,3.3,4.6,4.5,21.2,120466.0,70.2,25.5,4.2,0.1,6.6,White
Florida,Baker County,REP,11911,27537.0,14422.0,13115.0,2.4,81.9,13.8,0.4,0.7,0.0,20673.0,59506.0,4489.0,22440.0,1777.0,17.2,22.0,29.9,19.0,26.7,10.6,13.9,84.9,9.1,0.0,0.1,2.4,3.5,29.9,10567.0,69.1,26.7,4.0,0.2,5.8,White
Florida,Bay County,REP,66097,180117.0,89542.0,90575.0,6.0,77.3,10.7,0.7,2.3,0.0,137132.0,50283.0,1571.0,26742.0,677.0,15.4,22.1,32.0,22.2,25.1,10.2,10.5,81.7,10.5,1.2,1.3,2.0,3.3,22.8,80334.0,77.5,16.0,6.2,0.4,6.4,White
Florida,Bradford County,REP,10334,26775.0,14754.0,12021.0,3.8,74.5,19.1,0.3,0.6,0.0,21017.0,46106.0,5357.0,19656.0,1548.0,18.8,24.9,31.7,22.8,23.7,11.0,10.8,87.5,7.1,0.1,2.1,1.8,1.4,31.1,9118.0,71.3,24.9,3.6,0.2,7.6,White
Florida,Brevard County,REP,207883,568183.0,277666.0,290517.0,9.7,75.3,9.8,0.3,2.4,0.1,445123.0,51536.0,616.0,29405.0,419.0,13.4,19.4,38.4,19.1,24.7,8.5,9.4,81.6,8.0,0.6,1.1,2.7,6.0,24.5,239195.0,81.6,13.1,5.2,0.2,7.6,White
Florida,Broward County,DEM,618752,1890416.0,920265.0,970151.0,28.4,38.2,27.4,0.2,3.5,0.0,1247710.0,54895.0,644.0,30109.0,287.0,14.0,19.1,35.6,19.9,27.5,8.4,8.6,80.0,9.0,2.8,1.2,2.1,4.9,28.2,930561.0,83.1,10.6,6.2,0.1,7.6,White
